使用者,收藏網址,URL網址,tag
c99a6d1a8ce645f,http://twitter.com/Mayday_JP/status/466217988777975808,http://smarturl.it/e2yjta,MayDay
c99a6d1a8ce645f,http://twitter.com/Mayday_EN/status/608612942481768449,https://twitter.com/Mayday_JP/status/608605123917414400,Mayday
c99a6d1a8ce645f,http://twitter.com/KKBOX_JP/status/507510192406138882,http://www.kkbox.com/jp/ja/column/live_reviews-83-30-1.html,????
c99a6d1a8ce645f,http://twitter.com/jp_magicpower/status/632373205739507712,,MAGICPOWER
c99a6d1a8ce645f,http://twitter.com/jp_magicpower/status/625666534506000384,http://p.twipple.jp/Sonp1,MP魔幻力量
c99a6d1a8ce645f,http://twitter.com/jp_magicpower/status/625666049711538176,http://p.twipple.jp/VlOcE,MP魔幻力量
c99a6d1a8ce645f,http://twitter.com/jp_magicpower/status/625665656365518848,http://p.twipple.jp/Um9xT,MP魔幻力量
c99a6d1a8ce645f,http://twitter.com/JJ_Lin/status/616160401097654272,http://fb.me/7irPX5tzg,
c99a6d1a8ce645f,http://twitter.com/JJ_Lin/status/605948518080069632,http://fb.me/3pMCQXHbJ,
c99a6d1a8ce645f,http://twitter.com/FT__Island/status/483250451282796544,,HongGi
c99a6d1a8ce645f,http://twitter.com/focustaiwanjapa/status/605979144166309888,http://japan.cna.com.tw/news/aart/201506030006.aspx,
c99a6d1a8ce645f,http://twitter.com/flumpool_STAFF/status/606402168367644673,,flumpool
c99a6d1a8ce645f,http://twitter.com/flumpool_STAFF/status/606100946423148544,,flumpool
c99a6d1a8ce645f,http://twitter.com/FES_WOWOW/status/500869378955436034,http://bit.ly/1vWsMUO,????
c99a6d1a8ce645f,http://twitter.com/excite_music/status/489240992235532288,http://www.excite.co.jp/music/news/detail/E1405478405372.html,
c99a6d1a8ce645f,http://twitter.com/djgoogoo/status/608382748496142337,,
c99a6d1a8ce645f,http://twitter.com/djgoogoo/status/606095557036113921,,
c99a6d1a8ce645f,http://twitter.com/CosmosPeople/status/648089566868443136,,在香港也要烤肉
c99a6d1a8ce645f,http://twitter.com/CosmosPeople/status/609003493030912001,https://www.youtube.com/watch?v=uXEiWgnzSKU&feature=youtu.be,CosmosPeople
c99a6d1a8ce645f,http://twitter.com/BombHsueh/status/639830016423890944,http://www.epiphone.com/News/Features/2015/The-Epiphone-Interview-Monster.aspx,
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/650218106208387072,https://twitter.com/WowNEWS_tw/status/650214842490572800,
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/611745769985433600,http://youtu.be/AHeHF9Bz458,
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/609576305382719488,https://youtu.be/GxHIGioBZ10,
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/609209512705167360,https://youtu.be/ETq8WwWIjbo,
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/608984182212022272,https://youtu.be/uXEiWgnzSKU,
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/608232626604761088,https://youtu.be/q2dTqFQeJF8,????日
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/608228710190219264,https://youtu.be/QQISa7Jyfu0,????日
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/608227670959079424,https://youtu.be/0QTV0RAfHho,????日
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/608226890931781632,https://youtu.be/wlxffEX8WNI,????日
c99a6d1a8ce645f,http://twitter.com/BinMUSIC_jpn/status/606381594807369728,http://amba.to/1FVtSCr,flumpool
c99a6d1a8ce645f,http://twitter.com/av911130/status/617512748046352385,,
c99a6d1a8ce645f,http://twitter.com/av911130/status/609381260134187009,,
c99a6d1a8ce645f,http://twitter.com/av911130/status/609352952239665154,,畢業不快樂
c99a6d1a8ce645f,http://twitter.com/av911130/status/606090255926587393,,
c99a6d1a8ce645f,http://twitter.com/AShinOfficial/status/657133585686773760,,
c99a6d1a8ce645f,http://twitter.com/AShinOfficial/status/656041097861267456,,
c99a6d1a8ce645f,http://twitter.com/AShinOfficial/status/654315225936621568,,
c99a6d1a8ce645f,http://twitter.com/AShinOfficial/status/648063510056861696,,
c99a6d1a8ce645f,http://twitter.com/AShinOfficial/status/645532303473512449,,
c99a6d1a8ce645f,http://twitter.com/AShinOfficial/status/643280042873647104,,
c99a6d1a8ce645f,http://twitter.com/AShinOfficial/status/637559609494913024,,
